,id,vote_average
322,275474,6.0
323,119316,7.357
324,40229,3.0
325,21502,6.5
326,63452,7.6
327,59022,6.4
328,8514,7.479
329,106168,9.0
330,1900,5.488
331,34634,7.0
332,252373,6.4
333,8872,6.8
334,61780,8.5
335,243117,5.7
336,61511,7.5
337,86714,4.5
338,881,6.0
339,259172,8.0
340,86714,4.5
341,259172,8.0
342,1220,7.2
343,62974,7.2
344,70923,8.2
345,240448,7.5
346,234337,6.0
347,278899,0.0
348,25778,6.2
349,261791,0.0
350,210879,8.3
351,14506,5.3
352,14610,4.8
353,259524,0.0
354,85231,10.0
355,220542,8.808
356,242099,6.7
357,987,5.7
358,262364,0.0
359,262871,0.0
360,2051,6.1
361,66502,5.7
362,220150,8.836
363,72184,6.0
364,257790,0.0
365,136166,5.1
366,243083,9.0
367,1054,6.8
368,215092,7.3
369,240605,7.0
370,123542,8.2
371,214461,7.0
372,157004,7.2
373,260716,1.0
374,103960,6.0
375,197906,7.2
376,158630,0.0
377,207468,8.575
378,238680,8.0
379,194916,8.3
380,238680,8.0
381,194916,8.3
382,229192,9.7
383,226688,7.7
384,4775,7.67
385,201478,6.7
386,215307,8.3
387,121290,3.8
388,210708,9.0
389,153870,7.5
390,233100,10.0
391,274634,7.5
392,19996,4.7
393,137640,6.0
394,38409,6.2
395,114439,4.9
396,203616,6.7
397,135137,1.0
398,239962,7.0
399,98665,8.5
400,242476,4.5
401,766,5.5
402,30810,6.6
403,240125,6.0
404,278913,0.0
405,1549,7.4
406,78743,10.0
407,258228,0.0
408,279257,0.0
409,9307,7.0
410,279366,0.0
411,20090,6.5
412,235893,0.0
413,114885,6.389
414,279103,0.0
415,114899,5.0
416,217472,8.5
417,252649,9.7
418,240992,7.2
419,155660,8.0
420,270723,6.0
421,255548,5.7
422,260822,0.0
423,1265,7.4
424,5467,3.0
425,249964,0.0
426,205594,8.8
427,280104,7.0
428,76300,7.6
429,114193,6.667
430,221905,7.4
431,81492,6.0
432,251647,0.0
433,256725,0.0
434,201836,7.8
435,258680,0.0
436,212333,8.0
437,107116,7.2
438,62247,6.6
439,278887,8.0
440,206559,5.6
441,249010,6.0
442,256121,7.2
443,257064,6.4
444,257048,8.111
445,235484,7.7
446,233912,7.0
447,13008,4.813
448,261121,6.3
449,235493,7.0
450,262969,6.2
451,262831,9.5
452,72879,6.3
453,237478,5.2
454,36361,4.6
455,273042,0.0
456,273911,3.0
457,112470,6.8
458,81329,6.836
459,276465,2.0
460,273825,7.643
461,247885,7.7
462,248890,4.5
463,911,6.63
464,61818,5.4
465,2527,4.1
466,82708,4.8
467,243512,8.3
468,242722,6.9
469,51096,8.7
470,239526,6.2
471,13945,5.9
472,45789,6.0
473,12409,6.4
474,212907,7.512
475,210865,8.438
476,236994,8.2
477,91759,5.35
478,119316,7.357
479,2912,6.8
480,280113,7.0
481,62022,5.3
482,275474,6.0
483,119316,7.357
484,40229,3.0
485,21502,6.5
486,63452,7.6
487,59022,6.4
488,8514,7.479
489,106168,9.0
490,1900,5.488
491,34634,7.0
492,252373,6.4
493,8872,6.8
494,61780,8.5
495,243117,5.7
496,61511,7.5
497,86714,4.5
498,881,6.0
499,259172,8.0
500,86714,4.5
501,259172,8.0
502,1220,7.2
503,62974,7.2
504,70923,8.2
505,240448,7.5
506,234337,6.0
507,278899,0.0
508,25778,6.2
509,261791,0.0
510,210879,8.3
511,14506,5.3
512,14610,4.8
513,259524,0.0
514,85231,10.0
515,220542,8.808
516,242099,6.7
517,987,5.7
518,262364,0.0
519,262871,0.0
520,2051,6.1
521,66502,5.7
522,220150,8.836
523,72184,6.0
524,257790,0.0
525,136166,5.1
526,243083,9.0
527,1054,6.8
528,215092,7.3
529,240605,7.0
530,123542,8.2
531,214461,7.0
532,157004,7.2
533,260716,1.0
534,103960,6.0
535,197906,7.2
536,158630,0.0
537,207468,8.575
538,238680,8.0
539,194916,8.3
540,238680,8.0
541,194916,8.3
542,229192,9.7
543,226688,7.7
544,4775,7.67
545,201478,6.7
546,215307,8.3
547,121290,3.8
548,210708,9.0
549,153870,7.5
550,233100,10.0
551,274634,7.5
552,19996,4.7
553,137640,6.0
554,38409,6.2
555,114439,4.9
556,203616,6.7
557,135137,1.0
558,239962,7.0
559,98665,8.5
560,242476,4.5
561,766,5.5
562,30810,6.6
563,240125,6.0
564,278913,0.0
565,1549,7.4
566,78743,10.0
567,258228,0.0
568,279257,0.0
569,9307,7.0
570,279366,0.0
571,20090,6.5
572,235893,0.0
573,114885,6.389
574,279103,0.0
575,114899,5.0
576,217472,8.5
577,252649,9.7
578,240992,7.2
579,155660,8.0
580,270723,6.0
581,255548,5.7
582,260822,0.0
583,1265,7.4
584,5467,3.0
585,249964,0.0
586,205594,8.8
587,280104,7.0
588,76300,7.6
589,114193,6.667
590,221905,7.4
591,81492,6.0
592,251647,0.0
593,256725,0.0
594,201836,7.8
595,258680,0.0
596,212333,8.0
597,107116,7.2
598,62247,6.6
599,278887,8.0
600,107116,7.2
601,62247,6.6
602,241279,0.0
603,278887,8.0
604,279412,0.0
605,106793,3.0
606,88639,9.0
607,258963,0.0
608,217440,8.0
609,242682,0.0
610,217745,6.3
611,228669,5.7
612,63367,7.3
613,259844,0.0
614,256104,9.0
615,253896,6.2
616,249031,0.0
617,104610,1.0
618,280426,0.0
619,253030,0.0
620,280426,0.0
621,206386,7.1
622,238738,0.0
623,202304,6.8
624,204646,7.7
625,276255,0.0
626,115528,7.0
627,71761,7.6
628,236370,9.1
629,242279,7.0
630,270855,7.0
631,201857,6.5
632,280749,0.0
633,116785,6.0
634,254645,0.0
635,85113,0.0
636,261459,6.5
637,277404,0.0
638,236572,4.9
639,277353,0.0
640,277353,0.0
641,271971,0.0
642,225034,0.0
643,51035,7.5
644,273970,0.0
645,8630,5.9
646,275223,8.0
647,97193,10.0
648,249761,0.0
649,250394,0.0
650,278937,0.0
651,280180,0.0
652,197220,4.0
653,278330,0.0
654,278925,0.0
655,11436,4.16
656,280774,0.0
657,277662,9.0
658,259653,0.0
659,280853,0.0
660,250830,0.0
661,240300,0.0
662,279958,0.0
663,280184,0.0
664,258034,4.0
665,278952,0.0
666,55282,6.5
667,208782,6.0
668,273520,0.0
669,245527,7.0
670,279414,0.0
671,279996,1.0
672,277849,0.0
673,270643,0.0
674,72908,3.55
675,279425,0.0
676,279117,0.0
677,279342,0.0
678,235768,0.0
679,279043,7.0
680,279342,0.0
681,235768,0.0
682,279043,7.0
683,279362,0.0
684,258241,0.0
685,280169,0.0
686,276379,0.0
687,277908,0.0
688,278311,0.0
689,278205,0.0
690,280006,0.0
691,278957,0.0
692,280645,0.0
693,276359,0.0
694,279632,0.0
695,280962,0.0
696,127868,0.0
697,13932,8.2
698,279849,0.0
699,278969,0.0
700,242599,10.0
701,259599,0.0
702,281024,0.0
703,280983,10.0
704,248248,0.0
705,279956,8.0
706,279438,0.0
707,281098,0.0
708,278409,0.0
709,278324,0.0
710,281157,0.0
711,281149,9.0
712,281142,0.0
713,281054,0.0
714,281323,0.0
715,281239,0.0
716,277488,0.0
717,278474,10.0
718,276079,0.0
719,274465,0.0
720,206559,5.6
721,249010,6.0
722,256121,7.2
723,257064,6.4
724,257048,8.111
725,235484,7.7
726,233912,7.0
727,13008,4.813
728,261121,6.3
729,235493,7.0
730,262969,6.2
731,262831,9.5
732,72879,6.3
733,237478,5.2
734,36361,4.6
735,273042,0.0
736,273911,3.0
737,112470,6.8
738,81329,6.836
739,276465,2.0
740,273825,7.643
741,247885,7.7
742,248890,4.5
743,911,6.63
744,61818,5.4
745,2527,4.1
746,82708,4.8
747,243512,8.3
748,242722,6.9
749,51096,8.7
750,239526,6.2
751,13945,5.9
752,45789,6.0
753,12409,6.4
754,212907,7.512
755,210865,8.438
756,236994,8.2
757,91759,5.35
758,119316,7.357
759,2912,6.8
760,280113,7.0
761,62022,5.3
762,275474,6.0
763,119316,7.357
764,40229,3.0
765,21502,6.5
766,63452,7.6
767,59022,6.4
768,8514,7.479
769,106168,9.0
770,1900,5.488
771,34634,7.0
772,252373,6.4
773,8872,6.8
774,61780,8.5
775,243117,5.7
776,61511,7.5
777,86714,4.5
778,881,6.0
779,259172,8.0
780,86714,4.5
781,259172,8.0
782,1220,7.2
783,62974,7.2
784,70923,8.2
785,240448,7.5
786,234337,6.0
787,278899,0.0
788,25778,6.2
789,261791,0.0
790,210879,8.3
791,14506,5.3
792,14610,4.8
793,259524,0.0
794,85231,10.0
795,220542,8.808
796,242099,6.7
797,987,5.7
798,262364,0.0
799,262871,0.0
800,2051,6.1
801,66502,5.7
802,220150,8.836
803,72184,6.0
804,257790,0.0
805,136166,5.1
806,243083,9.0
807,1054,6.8
808,215092,7.3
809,240605,7.0
810,123542,8.2
811,214461,7.0
812,157004,7.2
813,260716,1.0
814,103960,6.0
815,197906,7.2
816,158630,0.0
817,207468,8.575
818,238680,8.0
819,194916,8.3
820,238680,8.0
821,194916,8.3
822,229192,9.7
823,226688,7.7
824,4775,7.67
825,201478,6.7
826,215307,8.3
827,121290,3.8
828,210708,9.0
829,153870,7.5
830,233100,10.0
831,274634,7.5
832,19996,4.7
833,137640,6.0
834,38409,6.2
835,114439,4.9
836,203616,6.7
837,135137,1.0
838,239962,7.0
839,98665,8.5
840,242476,4.5
841,766,5.5
842,30810,6.6
843,240125,6.0
844,278913,0.0
845,1549,7.4
846,78743,10.0
847,258228,0.0
848,279257,0.0
849,9307,7.0
850,279366,0.0
851,20090,6.5
852,235893,0.0
853,114885,6.389
854,279103,0.0
855,114899,5.0
856,217472,8.5
857,252649,9.7
858,240992,7.2
859,155660,8.0
860,270723,6.0
861,255548,5.7
862,260822,0.0
863,1265,7.4
864,5467,3.0
865,249964,0.0
866,205594,8.8
867,280104,7.0
868,76300,7.6
869,114193,6.667
870,221905,7.4
871,81492,6.0
872,251647,0.0
873,256725,0.0
874,201836,7.8
875,258680,0.0
876,212333,8.0
877,107116,7.2
878,62247,6.6
879,278887,8.0
880,107116,7.2
881,62247,6.6
882,241279,0.0
883,278887,8.0
884,279412,0.0
885,106793,3.0
886,88639,9.0
887,258963,0.0
888,217440,8.0
889,242682,0.0
890,217745,6.3
891,228669,5.7
892,63367,7.3
893,259844,0.0
894,256104,9.0
895,253896,6.2
896,249031,0.0
897,104610,1.0
898,280426,0.0
899,253030,0.0
900,280426,0.0
901,206386,7.1
902,238738,0.0
903,202304,6.8
904,204646,7.7
905,276255,0.0
906,115528,7.0
907,71761,7.6
908,236370,9.1
909,242279,7.0
910,270855,7.0
911,201857,6.5
912,280749,0.0
913,116785,6.0
914,254645,0.0
